game_id,nba_game_id,game_date,season,season_type,home_score,away_score,home_team_id,away_team_id,home_team,away_team,home_avg_points,home_off_rating,home_def_rating,home_pace,home_fg_pct,home_fg3_pct,home_3pt_rate,home_win_pct,home_home_avg_pts,home_home_avg_pts_allowed,away_avg_points,away_off_rating,away_def_rating,away_pace,away_fg_pct,away_fg3_pct,away_3pt_rate,away_win_pct,away_away_avg_pts,away_away_avg_pts_allowed,pace_differential,home_rest_days,away_rest_days,rest_advantage,home_back_to_back,away_back_to_back,h2h_home_avg_score,h2h_away_avg_score,h2h_home_win_pct,h2h_games_count
3605,0022300203,2023-11-18,2023-24,Regular Season,120,121,4,14,NOP,MIN,113.0,111.37,117.23,101.55,0.466,0.3663,1.0,0.4,117.0,,114.0,113.68,107.18,99.1,0.5001,0.365,1.0,0.8,113.0,,2.45,1,3,-2,1,0,113.0,114.0,0.5,0
3604,0022300204,2023-11-18,2023-24,Regular Season,102,97,5,12,CHI,MIA,108.9,110.15,112.09,97.77,0.4527,0.3619,1.0,0.3,110.33,,111.4,111.74,110.76,99.7,0.4756,0.3628,1.0,0.7,109.67,,1.93,1,3,-2,1,0,108.9,111.4,0.5,0
3596,0022300215,2023-11-19,2023-24,Regular Season,91,134,21,24,POR,OKC,103.9,103.12,109.91,98.87,0.4298,0.3123,1.0,0.3,101.25,,121.3,117.12,108.23,102.55,0.5034,0.393,1.0,0.7,116.75,,3.68,2,1,1,0,1,103.9,121.3,0.5,0
3598,0022300211,2023-11-19,2023-24,Regular Season,142,113,25,29,TOR,DET,109.9,111.13,114.17,97.93,0.4595,0.323,1.0,0.4,109.33,,109.6,108.78,117.76,100.8,0.4616,0.3511,1.0,0.0,110.8,,2.87,2,2,0,0,0,109.9,109.6,0.5,0
3595,0022300209,2023-11-19,2023-24,Regular Season,116,128,18,17,IND,ORL,124.9,121.34,119.6,103.25,0.4971,0.3785,1.0,0.6,127.0,,107.6,107.97,108.52,99.95,0.446,0.3351,1.0,0.5,103.83,,3.3,3,2,1,0,0,124.9,107.6,0.5,0
3597,0022300214,2023-11-19,2023-24,Regular Season,137,140,26,20,UTA,PHX,114.8,113.29,118.26,101.4,0.4709,0.3787,1.0,0.3,122.25,,117.9,119.28,117.12,98.12,0.4811,0.4074,1.0,0.6,116.75,,3.28,2,2,0,0,0,128.0,131.0,0.0,1
3601,0022300213,2023-11-19,2023-24,Regular Season,100,102,27,2,MEM,BOS,110.5,109.55,115.02,100.09,0.4344,0.3453,1.0,0.3,111.0,,119.4,120.17,106.23,98.6,0.4756,0.3719,1.0,0.8,114.5,,1.49,3,2,1,0,0,110.5,119.4,0.5,0
3600,0022300208,2023-11-19,2023-24,Regular Season,99,121,15,19,BKN,PHI,113.8,114.85,113.41,99.05,0.4626,0.3783,1.0,0.6,113.0,,121.4,119.98,111.39,101.05,0.48,0.359,1.0,0.8,120.0,,2.0,3,2,1,0,0,113.8,121.4,0.5,0
3602,0022300212,2023-11-19,2023-24,Regular Season,113,129,6,22,DAL,SAC,123.0,120.38,118.68,102.0,0.4832,0.3852,1.0,0.6,124.5,,114.5,111.74,112.52,100.11,0.4651,0.3429,1.0,0.6,108.2,,1.89,3,2,1,0,0,123.0,114.5,0.5,0
3603,0022300216,2023-11-19,2023-24,Regular Season,105,104,11,9,LAL,HOU,112.7,111.99,113.17,99.67,0.5018,0.3572,1.0,0.6,119.2,,109.9,111.79,107.72,97.15,0.4674,0.3635,1.0,0.6,102.67,,2.52,5,3,2,0,0,112.7,109.9,0.5,0
3599,0022300210,2023-11-19,2023-24,Regular Season,121,109,3,7,CLE,DEN,110.5,111.45,112.18,99.15,0.4778,0.3471,1.0,0.5,106.75,,114.2,117.63,109.7,97.45,0.5073,0.3365,1.0,0.7,107.75,,1.7,2,2,0,0,0,110.5,114.2,0.5,0
3594,0022300219,2023-11-20,2023-24,Regular Season,129,142,28,13,WAS,MIL,113.6,109.92,118.43,103.4,0.4826,0.3571,1.0,0.1,110.0,,119.9,118.33,114.82,101.25,0.4908,0.3867,1.0,0.7,119.83,,2.15,3,3,0,0,0,113.6,119.9,0.5,0
3593,0022300222,2023-11-20,2023-24,Regular Season,129,93,4,22,NOP,SAC,114.8,113.29,116.46,101.45,0.4763,0.3821,1.0,0.5,120.0,,116.0,114.32,112.2,99.41,0.4748,0.3554,1.0,0.7,111.67,,2.04,2,1,1,0,1,114.8,116.0,0.5,0
3592,0022300218,2023-11-20,2023-24,Regular Season,103,107,29,7,DET,DEN,109.7,108.67,119.24,101.0,0.4657,0.3321,1.0,0.0,108.4,,112.3,115.4,112.38,97.55,0.4947,0.3441,1.0,0.6,103.0,,3.45,3,1,2,0,1,109.7,112.3,0.5,0
3591,0022300220,2023-11-20,2023-24,Regular Season,100,118,5,12,CHI,MIA,107.9,110.13,112.33,96.82,0.4511,0.3622,1.0,0.3,109.14,,112.1,112.99,110.9,99.2,0.4783,0.3645,1.0,0.7,110.83,,2.38,2,2,0,0,0,102.0,97.0,1.0,1
3590,0022300221,2023-11-20,2023-24,Regular Season,117,100,14,16,MIN,NYK,115.5,115.07,110.12,99.2,0.5027,0.3716,1.0,0.7,117.25,,112.5,118.29,109.21,95.3,0.4549,0.3814,1.0,0.7,111.67,,3.9,3,2,1,0,0,115.5,112.5,0.5,0
3589,0022300217,2023-11-20,2023-24,Regular Season,121,118,30,2,CHA,BOS,114.2,114.12,124.95,100.1,0.48,0.3395,1.0,0.2,109.8,,117.0,118.9,106.58,97.6,0.4711,0.3748,1.0,0.8,110.5,,2.5,2,1,1,0,1,114.2,117.0,0.5,0
3588,0022300223,2023-11-20,2023-24,Regular Season,99,124,23,10,SAS,LAC,111.7,108.62,121.16,101.78,0.4619,0.3627,1.0,0.1,113.4,,111.5,111.07,110.89,99.07,0.4694,0.369,1.0,0.3,111.17,,2.71,2,3,-1,0,0,111.7,111.5,0.5,0
3587,0022300224,2023-11-20,2023-24,Regular Season,121,116,8,9,GSW,HOU,112.5,110.99,115.06,100.3,0.4358,0.3488,1.0,0.3,109.17,,111.7,113.35,106.35,97.4,0.4757,0.366,1.0,0.6,108.67,,2.9,2,1,1,0,1,112.5,111.7,0.5,0
3586,0022300041,2023-11-21,2023-24,Regular Season,120,107,20,21,PHX,POR,119.3,118.87,118.53,97.67,0.4772,0.4204,1.0,0.6,117.2,,103.2,103.19,111.79,98.07,0.4315,0.3162,1.0,0.3,107.2,,0.4,6,3,3,0,0,119.3,103.2,0.5,0
3585,0022300040,2023-11-21,2023-24,Regular Season,119,122,19,3,PHI,CLE,120.9,120.49,112.19,100.3,0.478,0.3654,1.0,0.8,121.14,,111.3,112.51,110.66,99.0,0.4893,0.3491,1.0,0.6,113.0,,1.3,6,6,0,0,0,120.9,111.3,0.5,0
3584,0022300038,2023-11-21,2023-24,Regular Season,126,107,17,25,ORL,TOR,110.1,109.31,108.55,100.9,0.4554,0.3301,1.0,0.6,113.25,,113.4,112.9,112.8,99.18,0.4697,0.3088,1.0,0.5,110.75,,1.72,3,3,0,0,0,110.1,113.4,0.5,0
3583,0022300042,2023-11-21,2023-24,Regular Season,131,99,11,26,LAL,UTA,112.6,111.99,113.38,99.57,0.4956,0.3483,1.0,0.6,119.0,,118.1,114.7,117.85,100.95,0.4686,0.3789,1.0,0.3,111.0,,1.38,2,3,-1,0,0,112.6,118.1,0.5,0
3582,0022300039,2023-11-21,2023-24,Regular Season,152,157,1,18,ATL,IND,120.9,118.96,115.31,101.8,0.4852,0.3718,1.0,0.6,119.2,,124.0,119.32,119.93,104.25,0.4923,0.3648,1.0,0.5,120.67,,2.45,4,3,1,0,0,120.9,124.0,0.5,0
3575,0022300228,2023-11-22,2023-24,Regular Season,119,116,2,13,BOS,MIL,113.3,115.24,108.17,96.68,0.4576,0.3497,1.0,0.7,117.33,,123.0,120.79,113.94,101.8,0.5032,0.3864,1.0,0.8,125.0,,5.12,3,2,1,0,0,113.3,123.0,0.5,0
3581,0022300225,2023-11-22,2023-24,Regular Season,117,114,30,28,CHA,WAS,114.2,113.91,123.11,99.38,0.4752,0.347,1.0,0.3,109.8,,115.8,112.15,120.1,103.3,0.4934,0.361,1.0,0.1,116.0,,3.92,2,3,-1,0,0,114.2,115.8,0.5,0
3580,0022300238,2023-11-22,2023-24,Regular Season,101,104,11,6,LAL,DAL,112.7,112.66,111.54,100.05,0.5015,0.3518,1.0,0.6,119.2,,122.9,119.79,121.07,102.25,0.4841,0.3788,1.0,0.5,122.0,,2.2,1,4,-3,1,0,112.7,122.9,0.5,0
3579,0022300231,2023-11-22,2023-24,Regular Season,111,91,9,27,HOU,MEM,111.1,114.57,107.87,96.8,0.47,0.3727,1.0,0.6,113.0,,109.9,109.8,115.0,99.19,0.4304,0.3435,1.0,0.3,111.0,,2.39,3,4,-1,0,0,111.1,109.9,0.5,0
3578,0022300234,2023-11-22,2023-24,Regular Season,116,102,24,5,OKC,CHI,122.3,119.31,106.94,101.7,0.5109,0.4093,1.0,0.7,124.4,,107.4,109.95,113.16,96.52,0.4496,0.3586,1.0,0.3,105.0,,5.18,8,3,5,0,0,122.3,107.4,0.5,0
3577,0022300226,2023-11-22,2023-24,Regular Season,124,119,17,7,ORL,DEN,112.5,111.98,107.8,100.6,0.4585,0.3455,1.0,0.7,115.8,,112.0,114.99,112.59,97.55,0.4847,0.3513,1.0,0.6,103.8,,3.05,1,2,-1,1,0,112.5,112.0,0.5,0
3576,0022300236,2023-11-22,2023-24,Regular Season,123,115,20,8,PHX,GSW,119.9,120.66,118.77,96.77,0.4832,0.4154,1.0,0.6,118.4,,114.4,113.34,116.96,100.0,0.4345,0.3621,1.0,0.3,117.5,,3.23,1,3,-2,1,0,119.9,114.4,0.5,0
3572,0022300227,2023-11-22,2023-24,Regular Season,147,145,1,15,ATL,BKN,123.4,120.82,118.93,102.35,0.4947,0.3797,1.0,0.5,124.67,,110.4,112.49,114.63,98.1,0.4532,0.3812,1.0,0.5,110.0,,4.25,1,6,-5,1,0,123.4,110.4,0.5,0
3574,0022300232,2023-11-22,2023-24,Regular Season,112,99,14,19,MIN,PHI,115.9,115.48,107.03,99.35,0.5051,0.3555,1.0,0.8,117.2,,121.4,119.76,113.07,100.48,0.474,0.3608,1.0,0.7,120.33,,1.13,2,3,-1,0,0,115.9,121.4,0.5,0
3571,0022300230,2023-11-22,2023-24,Regular Season,131,132,18,25,IND,TOR,129.2,123.53,123.13,104.8,0.512,0.3876,1.0,0.6,128.83,,115.0,113.61,114.63,100.03,0.48,0.345,1.0,0.5,110.0,,4.77,3,1,2,0,1,129.2,115.0,0.5,0
3570,0022300233,2023-11-22,2023-24,Regular Season,117,112,4,22,NOP,SAC,116.7,115.61,115.57,101.05,0.4914,0.394,1.0,0.5,121.29,,112.1,111.94,113.96,99.13,0.4656,0.3444,1.0,0.6,109.0,,1.92,2,2,0,0,0,129.0,93.0,1.0,1
3569,0022300237,2023-11-22,2023-24,Regular Season,121,105,21,26,POR,UTA,104.0,104.17,115.2,97.92,0.4305,0.33,1.0,0.2,99.2,,117.8,113.81,119.23,101.55,0.4645,0.3742,1.0,0.3,110.4,,3.63,3,1,2,0,1,104.0,117.8,0.5,0
3568,0022300235,2023-11-22,2023-24,Regular Season,102,109,23,10,SAS,LAC,110.1,107.23,122.04,101.73,0.4585,0.3512,1.0,0.1,111.0,,112.1,111.55,108.89,99.07,0.4636,0.3623,1.0,0.4,112.17,,2.66,2,2,0,0,0,99.0,124.0,0.0,1
3573,0022300229,2023-11-22,2023-24,Regular Season,96,129,3,12,CLE,MIA,114.4,114.22,110.44,99.18,0.4991,0.3588,1.0,0.7,114.67,,112.5,114.96,110.15,97.9,0.4806,0.3749,1.0,0.8,111.5,,1.28,3,2,1,0,0,114.4,112.5,0.5,0
3564,0022300045,2023-11-24,2023-24,Regular Season,100,98,16,12,NYK,MIA,111.6,117.05,111.55,95.6,0.4455,0.3669,1.0,0.6,113.75,,114.9,118.39,109.67,97.1,0.49,0.3978,1.0,0.9,114.0,,1.5,3,2,1,0,0,111.6,114.9,0.5,0
3561,0022300052,2023-11-24,2023-24,Regular Season,106,116,10,4,LAC,NOP,110.7,110.3,110.81,98.97,0.4579,0.3563,1.0,0.4,108.33,,115.9,115.05,115.17,100.95,0.4897,0.3735,1.0,0.5,106.0,,1.98,3,3,0,0,0,110.7,115.9,0.5,0
3567,0022300049,2023-11-24,2023-24,Regular Season,131,128,13,28,MIL,WAS,123.6,121.16,115.32,101.9,0.5051,0.3733,1.0,0.7,123.33,,115.1,112.54,119.98,102.3,0.4883,0.3704,1.0,0.1,114.83,,0.4,6,2,4,0,0,142.0,129.0,1.0,1
3565,0022300044,2023-11-24,2023-24,Regular Season,89,110,27,20,MEM,PHX,108.0,108.41,114.19,98.69,0.4176,0.3276,1.0,0.3,107.67,,120.1,120.74,117.09,96.82,0.4741,0.4047,1.0,0.7,121.4,,1.87,5,5,0,0,0,108.0,120.1,0.5,0
3566,0022300047,2023-11-24,2023-24,Regular Season,136,113,18,29,IND,DET,131.9,126.17,120.98,104.75,0.5214,0.4203,1.0,0.7,129.14,,109.9,109.76,119.57,100.25,0.4657,0.3275,1.0,0.0,111.0,,4.5,2,5,-3,0,0,131.9,109.9,0.5,0
3563,0022300051,2023-11-24,2023-24,Regular Season,118,112,8,23,GSW,SAS,111.8,111.43,116.02,99.5,0.429,0.3484,1.0,0.2,112.33,,107.1,104.06,120.51,101.98,0.445,0.3315,1.0,0.0,101.0,,2.48,4,10,-6,0,0,111.8,107.1,0.5,0
3560,0022300043,2023-11-24,2023-24,Regular Season,113,96,17,2,ORL,BOS,113.4,114.28,109.64,99.45,0.4669,0.3455,1.0,0.7,117.17,,112.8,114.62,108.14,96.83,0.4622,0.3569,1.0,0.7,109.5,,2.62,2,4,-2,0,0,113.4,112.8,0.5,0
3559,0022300048,2023-11-24,2023-24,Regular Season,105,86,9,7,HOU,DEN,112.7,115.9,106.0,97.1,0.4757,0.378,1.0,0.7,115.29,,115.0,118.4,114.42,97.25,0.4924,0.376,1.0,0.6,109.8,,0.15,2,2,0,0,0,112.7,115.0,0.5,0
